,좌표정보(X),좌표정보(Y),경도,위도
0,211212.4923,448649.5502,127.1247664870642,37.540033184371346
1,211835.9812,447143.4316,127.13179706278541,37.52645544184313
2,211315.842,449745.4689,127.12595266839134,37.549906043606654
3,212019.4455,447558.9302,127.13387932221337,37.53019669232381
4,211317.1922,449761.09,127.12596818719317,37.55004677150451
5,212172.8829,448356.9303,127.1356283710001,37.53738460091244
6,212212.6926,448288.0154,127.13607765749198,37.536763160839584
7,211209.8968,448636.019,127.12473691395924,37.53991130091436
8,212025.7137,448227.3781,127.13396111841878,37.53621926764794
9,211460.0166,448507.1385,127.12756498686674,37.538747043914356
10,211286.8674,448670.4459,127.12560835211004,37.54022055077222
11,212117.2069,448171.4004,127.13499538210729,37.53571372300523
12,212025.7137,448227.3781,127.13396111841878,37.53621926764794
13,211855.0418,447431.5868,127.13201731482462,37.5290514540552
14,212125.011,448412.6837,127.13508764060866,37.53788756081133
15,212111.3368,448059.842,127.13492713722594,37.53470866872521
16,212111.3368,448059.842,127.13492713722594,37.53470866872521
17,212215.3783,448196.8547,127.13610653678478,37.535941776126435
18,211096.1286,448552.6538,127.12344838973559,37.53916155591608
19,211985.558,448157.1963,127.1335056457375,37.53558745586053
20,212119.7392,448370.1223,127.13502729407203,37.537504155572776
21,212190.0312,448197.4968,127.13581976362104,37.535947894878156
22,212102.5418,448338.9981,127.13483220406887,37.537223954059165
23,212105.9823,448110.885,127.13486739256784,37.535168631394924
24,212211.0121,448223.7193,127.13605758061144,37.53618388115683
25,212167.3054,448056.9768,127.13556032308945,37.534682121035736
26,211986.9149,448201.8416,127.13352172249954,37.535989688367216
27,212154.7244,448181.2342,127.13542002552633,37.53580183373307
28,212135.8335,448176.3232,127.13520620861314,37.53575783344797
29,211069.4457,448556.0508,127.12314653014265,37.539192481279706
30,212005.3366,448190.8987,127.13372997275667,37.53589085560065
31,211980.2483,448111.0603,127.13344482240522,37.53517184331333
32,212127.7723,448197.1718,127.13511534462748,37.535945782839896
33,212102.5209,448099.2287,127.13482803879191,37.53506365437002
34,212226.1052,448338.7256,127.1362302523323,37.537219878208994
35,212142.2298,448155.7129,127.13527823903773,37.535572052839086
36,212011.0678,448166.5525,127.13379442113032,37.53567142438663
37,212117.2069,448171.4004,127.13499538210729,37.53571372300523
38,211986.9149,448201.8416,127.13352172249954,37.535989688367216
39,211110.487,448541.1625,127.12361067871514,37.53905784855764
40,212119.7392,448370.1223,127.13502729407203,37.537504155572776
41,211963.7874,448212.0129,127.13326021642457,37.53608162942898
42,212091.8416,448085.318,127.13470698406903,37.534938459514755
43,212067.7983,448341.0615,127.13443913392716,37.53724299781079
44,212022.1981,448182.3267,127.13392060857292,37.53581340427988
45,212127.7723,448197.1718,127.13511534462748,37.535945782839896
46,210942.7611,448620.9056,127.1217140847062,37.53977831959955
47,212106.8929,448374.1263,127.13488201025108,37.53754039901409
48,212005.3366,448190.8987,127.13372997275667,37.53589085560065
49,212117.1222,448386.0749,127.13499794575736,37.537647921171406
50,212111.3368,448059.842,127.13492713722594,37.53470866872521
51,212253.1527,448526.0201,127.13653938774122,37.53890702657533
52,212142.5529,448271.1192,127.13528379196224,37.53661184861303
53,212237.1938,448335.1919,127.13635565525729,37.53718789366216
54,211092.7291,448572.3152,127.12341022041275,37.539338743932916
55,212205.7874,448264.6401,127.13599914306747,37.536552642495415
56,211963.7874,448212.0129,127.13326021642457,37.53608162942898
57,212102.5209,448099.2287,127.13482803879191,37.53506365437002
58,212127.7723,448197.1718,127.13511534462748,37.535945782839896
59,212022.1981,448182.3267,127.13392060857292,37.53581340427988
60,211266.4787,448675.5203,127.125377733103,37.54026651845468
61,212011.0678,448166.5525,127.13379442113032,37.53567142438663
62,212131.7563,448108.63,127.13515896635023,37.53514797729596
63,211980.2483,448111.0603,127.13344482240522,37.53517184331333
64,212127.7723,448197.1718,127.13511534462748,37.535945782839896
65,212151.8575,448099.9055,127.13538625067713,37.53506910721528
66,212067.7983,448341.0615,127.13443913392716,37.53724299781079
67,211132.5723,448481.2778,127.12385966581994,37.538518028274495
68,212105.9823,448110.885,127.13486739256784,37.535168631394924
69,212142.5529,448271.1192,127.13528379196224,37.53661184861303
70,212111.3368,448059.842,127.13492713722594,37.53470866872521
71,212139.6819,448366.8107,127.13525288130917,37.5374740575508
72,212111.3368,448059.842,127.13492713722594,37.53470866872521
73,211096.9525,448450.5758,127.1234561788616,37.5382418327778
74,212127.7434,448291.8185,127.13511657177054,37.53679854112607
75,212111.3368,448059.842,127.13492713722594,37.53470866872521
76,212072.3891,448357.6753,127.1344913479164,37.53739262682967
77,212072.3891,448357.6753,127.1344913479164,37.53739262682967
78,212106.8929,448374.1263,127.13488201025108,37.53754039901409
79,212091.8416,448085.318,127.13470698406903,37.534938459514755
80,212067.7983,448341.0615,127.13443913392716,37.53724299781079
81,212068.5306,448392.3934,127.13444825829889,37.53770548382255
82,212011.0678,448166.5525,127.13379442113032,37.53567142438663
83,212091.8416,448085.318,127.13470698406903,37.534938459514755
84,212117.2069,448171.4004,127.13499538210729,37.53571372300523
85,212117.2069,448171.4004,127.13499538210729,37.53571372300523
86,212131.7563,448108.63,127.13515896635023,37.53514797729596
87,211116.1098,448577.9573,127.12367485282432,37.53938929890404
88,212091.8416,448085.318,127.13470698406903,37.534938459514755
89,212131.7563,448108.63,127.13515896635023,37.53514797729596
90,212172.8829,448356.9303,127.1356283710001,37.53738460091244
91,212111.3368,448059.842,127.13492713722594,37.53470866872521
92,212102.5209,448099.2287,127.13482803879191,37.53506365437002
93,212139.6819,448366.8107,127.13525288130917,37.5374740575508
94,212102.5209,448099.2287,127.13482803879191,37.53506365437002
95,211132.5723,448481.2778,127.12385966581994,37.538518028274495
96,212004.6141,448123.8925,127.1337207092179,37.53528714524594
97,212131.7563,448108.63,127.13515896635023,37.53514797729596
98,212237.1938,448335.1919,127.13635565525729,37.53718789366216
99,212067.7983,448341.0615,127.13443913392716,37.53724299781079
100,212131.7563,448108.63,127.13515896635023,37.53514797729596
101,212102.5209,448099.2287,127.13482803879191,37.53506365437002
102,212067.7983,448341.0615,127.13443913392716,37.53724299781079
103,212102.5418,448338.9981,127.13483220406887,37.537223954059165
104,211963.7874,448212.0129,127.13326021642457,37.53608162942898
105,211963.7874,448212.0129,127.13326021642457,37.53608162942898
106,211080.9247,448665.2026,127.12327804931235,37.54017579167098
107,212102.5418,448338.9981,127.13483220406887,37.537223954059165
108,212102.5418,448338.9981,127.13483220406887,37.537223954059165
109,212041.9244,448167.0597,127.13414354786065,37.535675594130446
110,212041.9244,448167.0597,127.13414354786065,37.535675594130446
111,211033.5003,448588.8931,127.12274030699533,37.5394888154507
112,211080.9247,448665.2026,127.12327804931235,37.54017579167098
113,212102.5418,448338.9981,127.13483220406887,37.537223954059165
114,212111.3368,448059.842,127.13492713722594,37.53470866872521
