금연구역명,위도,경도
한국점자도서관,37.55073399,127.124837
한국시각장애인복지재단 점자도서관,37.55117417,127.1687408
천일어린이도서관,37.54498878,127.1362629
현대백화점,37.53897505,127.124441
이마트 천호점,37.53872905,127.1251462
이마트 명일점,37.55470672,127.1556131
홈플러스 강동점,37.54571459,127.142236
2001 아울렛,37.54159201,127.1255364
주양쇼핑,37.552376,127.153461
현대프라자,37.53923502,127.1291102
코오롱상가,37.53911634,127.1282973
둔촌종합상가,37.52474868,127.1359786
둔촌시장주상복합(파크프라자),37.526853,127.1346721
강동한신휴플러스 주상복합,37.536047,127.137431
이안강동 주상복합,37.53557714,127.1279523
동서울오네뜨,37.54260895,127.143659
원터,37.5524155,127.1430368
윤슬,37.562656,127.177562
은하수,37.552017,127.1435031
진달래,37.5521507,127.1436747
천사,37.54380935,127.1284086
천암,37.547806,127.136889
천일,37.54498878,127.1362629
천호골목,37.5405287,127.1314181
천호삼거리,37.545464,127.138523
천호큰골목,37.545064,127.138597
파랑새,37.547932,127.150872
하늬,37.546114,127.159691
한우물,37.561652,127.162745
혜림,37.54460149,127.139959
화랑,37.540021,127.123217
희망,37.539085,127.142246
암사동,37.550327,127.123733
일자산,37.5330568,127.1513563
성내도서관,37.53284547,127.133316
해공도서관,37.54394767,127.1255384
강일도서관,37.5650504,127.1739072
암사도서관,37.552885,127.133351
강동도서관,37.5380818,127.1435022
고덕평생학습관,37.556127,127.1580412
명성교회도서관,37.54690773,127.146256
명성교회도서관 별관,37.547071,127.1464031
무지개,37.559266,127.164181
미리내,37.554777,127.167892
방아다리,37.5481283,127.153662
방죽,37.5591586,127.1598268
벌말,37.559933,127.177198
볕우물,37.553601,127.135719
보람,37.52471702,127.131388
상일,37.546944,127.167339
새장터,37.55212624,127.1305653
샘물,37.5510159,127.1447414
샘터,37.561813,127.158933
샛마을,37.550295,127.147121
샛별,37.527045,127.127081
선린,37.52851478,127.132763
선사,37.55576061,127.1299975
성내,37.5294429,127.126585
성내천,37.526838,127.124038
성심,37.53831458,127.1373779
성안,37.531366,127.134773
솔말소,37.556527,127.139116
솜다래,37.553777,127.141245
송림,37.55504732,127.1539494
안말,37.531223,127.129933
암사,37.552756,127.137989
암사,37.5527562,127.1379796
염주골,37.549908,127.1456059
게내,37.5492477,127.1714755
고명,37.552435,127.143378
고분다리,37.54540502,127.131874
곰돌이,37.556198,127.154962
광나루,37.550071,127.1255454
광진,37.542992,127.122541
구암,37.556532,127.137655
까치,37.557076,127.150006
까치,37.557027,127.150011
꽃보라,37.565401,127.175773
꿈나래,37.560865,127.153795
꿈터,37.560859,127.180301
나루,37.547016,127.123608
능골,37.556876,127.174715
다솜,37.568889,127.174671
달님,37.53621038,127.142547
당말,37.53912769,127.133261
동명,37.561065,127.164427
동산,37.547163,127.129688
동자,37.559769,127.152444
동자,37.552428,127.167038
두레,37.557982,127.152347
둔촌,37.531416,127.143311
말우물,37.5600003,127.169486
명우,37.551594,127.141452
명일,37.5512577,127.1634092
무궁화,37.542327,127.1454038
강덕,37.559353,127.175697
강일,37.569596,127.174548
